threshold	TP	FP	TN	FN
0.05	184	408	207	1
0.1	182	319	296	3
0.15	177	245	370	8
0.2	169	197	418	16
0.25	155	138	477	30
0.3	141	102	513	44
0.35	132	78	537	53
0.4	127	53	562	58
0.45	115	42	573	70
0.5	102	27	588	83
0.55	91	15	600	94
0.6	79	9	606	106
0.65	68	4	611	117
0.7	56	1	614	129
0.75	49	1	614	136
0.8	41	1	614	144
0.85	38	0	615	147
0.9	29	0	615	156
0.95	24	0	615	161
