f1	f2	f3	f4	f5	costhresh
1.0	1.0	1.0	1.0	2	0.5
1.6	0.8	0.8	0.8	2	0.5
0.8	1.6	0.8	0.8	2	0.5
0.8	0.8	1.6	0.8	2	0.5
0.8	0.8	0.8	1.6	2	0.5
1.3333333333333333	1.3333333333333333	0.6666666666666666	0.6666666666666666	2	0.5
1.3333333333333333	0.6666666666666666	1.3333333333333333	0.6666666666666666	2	0.5
1.3333333333333333	0.6666666666666666	0.6666666666666666	1.3333333333333333	2	0.5
0.6666666666666666	1.3333333333333333	1.3333333333333333	0.6666666666666666	2	0.5
0.6666666666666666	1.3333333333333333	0.6666666666666666	1.3333333333333333	2	0.5
0.6666666666666666	0.6666666666666666	1.3333333333333333	1.3333333333333333	2	0.5
0.5714285714285714	1.1428571428571428	1.1428571428571428	1.1428571428571428	2	0.5
1.1428571428571428	0.5714285714285714	1.1428571428571428	1.1428571428571428	2	0.5
1.1428571428571428	1.1428571428571428	0.5714285714285714	1.1428571428571428	2	0.5
1.1428571428571428	1.1428571428571428	1.1428571428571428	0.5714285714285714	2	0.5
0.0	1.3333333333333333	1.3333333333333333	1.3333333333333333	2	0.5
1.3333333333333333	0.0	1.3333333333333333	1.3333333333333333	2	0.5
1.3333333333333333	1.3333333333333333	0.0	1.3333333333333333	2	0.5
1.3333333333333333	1.3333333333333333	1.3333333333333333	0.0	2	0.5
4.0	0.0	0.0	0.0	2	0.5
0.0	4.0	0.0	0.0	2	0.5
0.0	0.0	4.0	0.0	2	0.5
0.0	0.0	0.0	4.0	2	0.5
2.0	2.0	0.0	0.0	2	0.5
2.0	0.0	2.0	0.0	2	0.5
2.0	0.0	0.0	2.0	2	0.5
0.0	2.0	2.0	0.0	2	0.5
0.0	2.0	0.0	2.0	2	0.5
0.0	0.0	2.0	2.0	2	0.5
