LN3279	DS15164	iPS_6_9
LN3281	DS15169	iPS_4_7
LN3285	DS15192	HAh
LN3289	DS15202	HAh
LN3295	DS15227	fLung
LN3327	DS15363	K562
LN3352	DS15453	fBrain
LN3355	DS15461	fLung
LN3374	DS15538	HSMM_D
LN3377	DS15542	HSMM_D
LN3385	DS15573	fLung
LN3398	DS15632	fLung_R
LN3399	DS15637	fLung_L
LN3400	DS15643	fHeart
LN3402	DS15651	fKidney_R
LN3408	DS15665	H7_hESC_T5
LN3453	DS15809	H7_hESC_T9
LN3462	DS15839	fHeart
LN3494	DS15947	CD4
LN3509	DS16018	fHeart
LN3513	DS16027	fIntestine_Lg
LN3572	DS16139	fKidney
LN3574	DS16146	fHeart
LN3584	DS16164	fIntestine_Lg
LN3657	DS16302	fBrain
LN3680	DS16376	CD56
LN3690	DS16441	fKidney_R
LN3692	DS16446	fKidney_L
LN3700	DS16490	fThymus
LN3702	DS16500	fHeart
LN3712	DS16530	fStomach
LN3713	DS16559	fIntestine_Sm
LN3714	DS16563	fIntestine_Lg
LN3715	DS16566	fLung_R
LN3716	DS16570	fLung_L
LN3718	DS16579	fKidney_L
LN3719	DS16582	fHeart
LN3725	DS16597	HS5
LN3726	DS16602	HS27a
LN3732	DS16621	fHeart
LN3755	DS16712	fIntestine_Sm
LN3774	DS16790	fLung_R
LN3776	DS16801	fKidney_R
LN3779	DS16805	fKidney_L
LN3782	DS16814	CD34
LN3787	DS16819	fHeart
LN3788	DS16822	fIntestine_Sm
LN3792	DS16834	CD3
LN3793	DS16837	fKidney
LN3795	DS16841	fThymus
LN3817	DS16924	K562
LN3824	DS16955	CD4
LN3828	DS16962	CD8
LN3833	DS16975	fIntestine_Sm
LN3859	DS17068	fKidney
LN3871	DS17092	fIntestine_Sm
LN3872	DS17094	fIntestine_Lg
LN3873	DS17101	fLung_R
LN3874	DS17105	fLung_L
LN3876	DS17112	CD34
LN3892	DS17140	fKidney_L
LN3893	DS17144	fKidney_R
LN3894	DS17150	fIntestine_Sm
LN3895	DS17154	fLung_L
LN3896	DS17157	fIntestine_Lg
LN3898	DS17162	fLung_R
LN3901	DS17172	fStomach
LN3902	DS17175	CD4
LN3904	DS17186	CD19
LN3905	DS17189	CD56
LN3906	DS17198	CD3
LN3907	DS17203	CD8
LN3909	DS17215	CD14
LN3921	DS17281	CD19
LN3926	DS17307	fKidney_renal_cortex
