threshold	TP	FP	TN	FN
0.05	73891968	190195592	2366388105	2385569
0.1	71066931	107963957	2448619740	5210606
0.15	68103208	70899631	2485684066	8174329
0.2	65098103	49518994	2507064703	11179434
0.25	62067538	35629141	2520954556	14209999
0.3	59060433	26168531	2530415166	17217104
0.35	56051934	19379860	2537203837	20225603
0.4	52963366	14263389	2542320308	23314171
0.45	49835378	10437487	2546146210	26442159
0.5	46684562	7559147	2549024550	29592975
0.55	43511838	5400596	2551183101	32765699
0.6	40294850	3768196	2552815501	35982687
0.65	37055358	2554927	2554028770	39222179
0.7	33806026	1670080	2554913617	42471511
0.75	30540594	1038619	2555545078	45736943
0.8	27235710	610741	2555972956	49041827
0.85	23835953	335780	2556247917	52441584
0.9	20258342	173696	2556410001	56019195
0.95	16323696	83750	2556499947	59953841
