threshold	TP	FP	TN	FN
0.05	72353821	202862850	2353720847	3923716
0.1	68611322	111500425	2445083272	7666215
0.15	65348910	72092912	2484490785	10928627
0.2	62113161	49890079	2506693618	14164376
0.25	58968245	35733665	2520850032	17309292
0.3	55828487	26035522	2530548175	20449050
0.35	52657243	19114480	2537469217	23620294
0.4	49476816	14023224	2542560473	26800721
0.45	46292901	10263287	2546320410	29984636
0.5	43079785	7460893	2549122804	33197752
0.55	39923367	5354798	2551228899	36354170
0.6	36764890	3770157	2552813540	39512647
0.65	33605793	2588789	2553994908	42671744
0.7	30482924	1723204	2554860493	45794613
0.75	27388957	1097722	2555485975	48888580
0.8	24357154	663048	2555920649	51920383
0.85	21246225	375146	2556208551	55031312
0.9	17940560	198773	2556384924	58336977
0.95	14403724	98067	2556485630	61873813
