threshold	TP	FP	TN	FN
0.05	73754684	195310519	2361273178	2522853
0.1	70700507	109154473	2447429224	5577030
0.15	67529995	71355416	2485228281	8747542
0.2	64420826	49852615	2506731082	11856711
0.25	61394926	35929709	2520653988	14882611
0.3	58328806	26407080	2530176617	17948731
0.35	55221666	19508462	2537075235	21055871
0.4	52074694	14378897	2542204800	24202843
0.45	48939012	10551426	2546032271	27338525
0.5	45766354	7676010	2548907687	30511183
0.55	42584974	5501717	2551081980	33692563
0.6	39372256	3860002	2552723695	36905281
0.65	36119440	2637324	2553946373	40158097
0.7	32916887	1736340	2554847357	43360650
0.75	29706467	1085835	2555497862	46571070
0.8	26453153	639317	2555944380	49824384
0.85	23113535	351434	2556232263	53164002
0.9	19583693	179995	2556403702	56693844
0.95	15774834	85885	2556497812	60502703
