threshold	TP	FP	TN	FN
0.05	71666866	205661563	2350922134	4610671
0.1	67670363	113080673	2443503024	8607174
0.15	64189142	73081563	2483502134	12088395
0.2	60827236	50512116	2506071581	15450301
0.25	57541636	36104202	2520479495	18735901
0.3	54287623	26285260	2530298437	21989914
0.35	51043495	19316092	2537267605	25234042
0.4	47845482	14224774	2542358923	28432055
0.45	44659701	10453149	2546130548	31617836
0.5	41513760	7638815	2548944882	34763777
0.55	38423224	5504919	2551078778	37854313
0.6	35330591	3887307	2552696390	40946946
0.65	32220248	2678229	2553905468	44057289
0.7	29166328	1789097	2554794600	47111209
0.75	26159088	1143000	2555440697	50118449
0.8	23180843	690960	2555892737	53096694
0.85	20099055	391979	2556191718	56178482
0.9	16919672	207157	2556376540	59357865
0.95	13448294	101746	2556481951	62829243
