threshold	TP	FP	TN	FN
0.05	66686614	230767366	2325816331	9590923
0.1	60368018	119221920	2437361777	15909519
0.15	55290104	73638757	2482944940	20987433
0.2	51017919	49241630	2507342067	25259618
0.25	47254279	34309080	2522274617	29023258
0.3	43826280	24440786	2532142911	32451257
0.35	40629279	17626940	2538956757	35648258
0.4	37623666	12787401	2543796296	38653871
0.45	34757140	9275568	2547308129	41520397
0.5	31997598	6696035	2549887662	44279939
0.55	29330847	4792040	2551791657	46946690
0.6	26759306	3379251	2553204446	49518231
0.65	24267000	2341330	2554242367	52010537
0.7	21860832	1582126	2555001571	54416705
0.75	19495968	1031140	2555552557	56781569
0.8	17155557	644563	2555939134	59121980
0.85	14734964	380536	2556203161	61542573
0.9	12244424	212247	2556371450	64033113
0.95	9588031	113444	2556470253	66689506
