threshold	TP	FP	TN	FN
0.05	73077824	198099908	2358483789	3199713
0.1	69750010	110305582	2446278115	6527527
0.15	66554049	71737209	2484846488	9723488
0.2	63345423	50004786	2506578911	12932114
0.25	60223415	35959492	2520624205	16054122
0.3	57088245	26317578	2530266119	19189292
0.35	53972742	19379045	2537204652	22304795
0.4	50812660	14250604	2542333093	25464877
0.45	47663495	10428407	2546155290	28614042
0.5	44481069	7565813	2549017884	31796468
0.55	41323872	5416198	2551167499	34953665
0.6	38155049	3797547	2552786150	38122488
0.65	34949537	2595862	2553987835	41328000
0.7	31804350	1716810	2554866887	44473187
0.75	28667219	1082599	2555501098	47610318
0.8	25525209	645201	2555938496	50752328
0.85	22319744	360710	2556222987	53957793
0.9	18943891	188099	2556395598	57333646
0.95	15276343	91757	2556491940	61001194
