threshold	TP	FP	TN	FN
0.05	71494674	207520096	2349063601	4782863
0.1	67401594	113644883	2442938814	8875943
0.15	63790235	73171666	2483412031	12487302
0.2	60332389	50481952	2506101745	15945148
0.25	56981047	36061780	2520521917	19296490
0.3	53694706	26272307	2530311390	22582831
0.35	50442561	19309471	2537274226	25834976
0.4	47245382	14236257	2542347440	29032155
0.45	44060164	10469355	2546114342	32217373
0.5	40941286	7656277	2548927420	35336251
0.55	37870401	5524620	2551059077	38407136
0.6	34813652	3907327	2552676370	41463885
0.65	31748832	2699546	2553884151	44528705
0.7	28740846	1808163	2554775534	47536691
0.75	25804062	1159572	2555424125	50473475
0.8	22877305	701835	2555881862	53400232
0.85	19845188	399539	2556184158	56432349
0.9	16692496	211793	2556371904	59585041
0.95	13260140	104323	2556479374	63017397
