threshold	TP	FP	TN	FN
0.05	72044134	203816317	2352767380	4233403
0.1	68123665	111541947	2445041750	8153872
0.15	64708344	72124206	2484459491	11569193
0.2	61409650	49962512	2506621185	14867887
0.25	58186004	35789703	2520793994	18091533
0.3	55014558	26089983	2530493714	21262979
0.35	51829734	19167659	2537416038	24447803
0.4	48663195	14084986	2542498711	27614342
0.45	45502896	10329527	2546254170	30774641
0.5	42322270	7529688	2549054009	33955267
0.55	39202756	5420252	2551163445	37074781
0.6	36086848	3829467	2552754230	40190689
0.65	32967370	2639830	2553943867	43310167
0.7	29882431	1763352	2554820345	46395106
0.75	26831841	1126460	2555457237	49445696
0.8	23847711	681915	2555901782	52429826
0.85	20769213	387059	2556196638	55508324
0.9	17508814	205416	2556378281	58768723
0.95	14010682	101530	2556482167	62266855
