threshold	TP	FP	TN	FN
0.05	70829878	227154641	2329429056	5447659
0.1	66202600	122986076	2433597621	10074937
0.15	62195051	77707718	2478875979	14082486
0.2	58377208	52425637	2504158060	17900329
0.25	54736090	36548677	2520035020	21541447
0.3	51180189	25942926	2530640771	25097348
0.35	47679378	18567680	2538016017	28598159
0.4	44315556	13341462	2543242235	31961981
0.45	40981600	9586609	2546997088	35295937
0.5	37754316	6859433	2549724264	38523221
0.55	34616615	4869109	2551714588	41660922
0.6	31601115	3400911	2553182786	44676422
0.65	28654630	2329715	2554253982	47622907
0.7	25790886	1550441	2555033256	50486651
0.75	23045999	998435	2555585262	53231538
0.8	20358455	614586	2555969111	55919082
0.85	17680771	360924	2556222773	58596766
0.9	14947836	201589	2556382108	61329701
0.95	11942530	108043	2556475654	64335007
