threshold	TP	FP	TN	FN
0.05	71825536	203403739	2353179958	4452001
0.1	67885347	112029057	2444554640	8392190
0.15	64488119	72555746	2484027951	11789418
0.2	61191561	50267027	2506316670	15085976
0.25	57945976	35988242	2520595455	18331561
0.3	54747513	26233555	2530350142	21530024
0.35	51537680	19289594	2537294103	24739857
0.4	48344100	14193126	2542390571	27933437
0.45	45165759	10423313	2546160384	31111778
0.5	41983968	7607063	2548976634	34293569
0.55	38873519	5476918	2551106779	37404018
0.6	35757060	3866740	2552716957	40520477
0.65	32639146	2663571	2553920126	43638391
0.7	29558150	1779014	2554804683	46719387
0.75	26525867	1136852	2555446845	49751670
0.8	23550220	687320	2555896377	52727317
0.85	20470427	389626	2556194071	55807110
0.9	17246644	206624	2556377073	59030893
0.95	13760781	101236	2556482461	62516756
