threshold	TP	FP	TN	FN
0.05	70636096	227731075	2328852622	5641441
0.1	65917106	123037896	2433545801	10360431
0.15	61767294	77865775	2478717922	14510243
0.2	57823526	52655142	2503928555	18454011
0.25	54088386	36770660	2519813037	22189151
0.3	50475448	26133566	2530450131	25802089
0.35	46946591	18719018	2537864679	29330946
0.4	43573712	13464682	2543119015	32703825
0.45	40258370	9685558	2546898139	36019167
0.5	37066013	6940211	2549643486	39211524
0.55	33973095	4933821	2551649876	42304442
0.6	31010444	3452920	2553130777	45267093
0.65	28127028	2368947	2554214750	48150509
0.7	25331049	1579741	2555003956	50946488
0.75	22655996	1018894	2555564803	53621541
0.8	20029614	627224	2555956473	56247923
0.85	17409167	367258	2556216439	58868370
0.9	14710329	204112	2556379585	61567208
0.95	11730857	108584	2556475113	64546680
