threshold	TP	FP	TN	FN
0.05	72213143	202928185	2353655512	4064394
0.1	68413850	111621973	2444961724	7863687
0.15	65123433	72274641	2484309056	11154104
0.2	61868625	50087154	2506496543	14408912
0.25	58714468	35918234	2520665463	17563069
0.3	55558318	26201186	2530382511	20719219
0.35	52372951	19246026	2537337671	23904586
0.4	49181615	14127475	2542456222	27095922
0.45	45985368	10346334	2546237363	30292169
0.5	42762869	7529682	2549054015	33514668
0.55	39598290	5412363	2551171334	36679247
0.6	36437087	3818375	2552765322	39840450
0.65	33273922	2627239	2553956458	43003615
0.7	30150655	1752726	2554830971	46126882
0.75	27061325	1120329	2555463368	49216212
0.8	24042039	678346	2555905351	52235498
0.85	20936490	385113	2556198584	55341047
0.9	17648177	204463	2556379234	58629360
0.95	14145175	101296	2556482401	62132362
