threshold	TP	FP	TN	FN
0.05	71264809	209458448	2347125249	5012728
0.1	67072467	114395564	2442188133	9205070
0.15	63356216	73316532	2483267165	12921321
0.2	59806288	50421524	2506162173	16471249
0.25	56390473	35928613	2520655084	19887064
0.3	53065387	26140535	2530443162	23212150
0.35	49802727	19208842	2537374855	26474810
0.4	46624427	14156556	2542427141	29653110
0.45	43469207	10406608	2546177089	32808330
0.5	40381994	7610256	2548973441	35895543
0.55	37343202	5495426	2551088271	38934335
0.6	34321128	3893237	2552690460	41956409
0.65	31295325	2695581	2553888116	44982212
0.7	28331947	1810034	2554773663	47945590
0.75	25430240	1163895	2555419802	50847297
0.8	22542294	707748	2555875949	53735243
0.85	19550886	405115	2556178582	56726651
0.9	16428318	216334	2556367363	59849219
0.95	13025180	107847	2556475850	63252357
