threshold	TP	FP	TN	FN
0.05	71044043	212095639	2344488058	5233494
0.1	66681842	115342676	2441241021	9595695
0.15	62859535	73683914	2482899783	13418002
0.2	59227755	50495286	2506088411	17049782
0.25	55764159	35918324	2520665373	20513378
0.3	52406537	26095665	2530488032	23871000
0.35	49116648	19153885	2537429812	27160889
0.4	45939760	14118254	2542465443	30337777
0.45	42802768	10387712	2546195985	33474769
0.5	39737291	7602003	2548981694	36540246
0.55	36729607	5495444	2551088253	39547930
0.6	33762447	3899568	2552684129	42515090
0.65	30797896	2703178	2553880519	45479641
0.7	27895393	1817960	2554765737	48382144
0.75	25027952	1169184	2555414513	51249585
0.8	22183274	712370	2555871327	54094263
0.85	19232971	407459	2556176238	57044566
0.9	16151749	217144	2556366553	60125788
0.95	12808673	107778	2556475919	63468864
