threshold	TP	FP	TN	FN
0.05	69865533	227569929	2329013768	6412004
0.1	64739857	121763983	2434819714	11537680
0.15	60289512	76946892	2479636805	15988025
0.2	56177228	52079218	2504504479	20100309
0.25	52384156	36482391	2520101306	23893381
0.3	48810670	26043616	2530540081	27466867
0.35	45377304	18725835	2537857862	30900233
0.4	42119068	13494168	2543089529	34158469
0.45	38916351	9693710	2546889987	37361186
0.5	35830757	6923115	2549660582	40446780
0.55	32810759	4893538	2551690159	43466778
0.6	29894111	3404146	2553179551	46383426
0.65	27068757	2320022	2554263675	49208780
0.7	24334759	1542212	2555041485	51942778
0.75	21712043	988720	2555594977	54565494
0.8	19139363	605907	2555977790	57138174
0.85	16585482	354649	2556229048	59692055
0.9	13934494	197258	2556386439	62343043
0.95	11134915	105364	2556478333	65142622
