threshold	TP	FP	TN	FN
0.05	70762027	212340706	2344242991	5515510
0.1	66126370	114830810	2441752887	10151167
0.15	62166561	73211066	2483372631	14110976
0.2	58448851	50160068	2506423629	17828686
0.25	54969750	35714717	2520868980	21307787
0.3	51622266	25985007	2530598690	24655271
0.35	48372146	19109209	2537474488	27905391
0.4	45252842	14115036	2542468661	31024695
0.45	42176790	10404547	2546179150	34100747
0.5	39180083	7624517	2548959180	37097454
0.55	36241369	5517089	2551066608	40036168
0.6	33337263	3915631	2552668066	42940274
0.65	30437461	2712981	2553870716	45840076
0.7	27572110	1821955	2554761742	48705427
0.75	24746725	1169151	2555414546	51530812
0.8	21924905	709867	2555873830	54352632
0.85	19001608	404180	2556179517	57275929
0.9	15929809	214082	2556369615	60347728
0.95	12613235	105329	2556478368	63664302
